35,67
W01000114,Gwynedd 009D,"1,485",158.71,9
W01000115,Gwynedd 003E,"2,185",27.92,78
W01000116,Gwynedd 017D,"1,781",24.94,71
W01000117,Gwynedd 017E,"1,516",2.94,516
W01000118,Gwynedd 007D,"1,754",53.22,33
W01000119,Gwynedd 004D,"2,562",5.90,434
W01001932,Gwynedd 014E,"2,953",117.51,25
W01001933,Gwynedd 017F,"2,177",161.57,13
W01000121,Conwy 015A,"1,180",155.62,8
W01000122,Conwy 014A,"2,180",91.27,24
W01000123,Conwy 013A,"1,909",9.72,196
W01000124,Conwy 012A,"2,074",75.82,27
W01000125,Conwy 013B,"1,397",5.08,275
W01000126,Conwy 009A,"1,627",0.84,"1,931"
W01000127,Conwy 009B,"1,252",0.53,"2,362"
W01000128,Conwy 009C,"1,405",0.37,"3,790"
W01000129,Conwy 012B,"1,119",3.47,323
W01000130,Conwy 012C,"1,876",0.89,"2,115"
W01000131,Conwy 012D,"2,166",1.71,"1,268"
W01000132,Conwy 001A,"1,513",0.34,"4,462"
W01000133,Conwy 002A,"1,891",2.54,746
W01000134,Conwy 015B,"2,150",3.98,540
W01000135,Conwy 006A,"2,143",1.71,"1,251"
W01000136,Conwy 006B,"2,747",0.98,"2,799"
W01000137,Conwy 015C,"1,534",53.55,29
W01000138,Conwy 008A,"1,794",1.70,"1,058"
W01000139,Conwy 007A,"1,438",0.50,"2,884"
W01000140,Conwy 010B,"1,715",9.52,180
W01000141,Conwy 010C,"1,611",0.47,"3,398"
W01000142,Conwy 010D,"1,490",2.75,543
W01000143,Conwy 007B,"1,538",0.16,"9,771"
W01000144,Conwy 007C,"1,367",0.75,"1,826"
W01000145,Conwy 008B,"1,262",1.97,641
W01000146,Conwy 001B,"1,970",1.22,"1,616"
W01000147,Conwy 001C,"1,507",4.11,367
W01000148,Conwy 015D,"1,138",1.26,901
W01000149,Conwy 005A,"1,511",0.81,"1,865"
W01000150,Conwy 005B,"1,481",2.39,620
W01000151,Conwy 005C,"1,601",0.92,"1,745"
W01000152,Conwy 005D,"1,486",0.59,"2,525"
W01000153,Conwy 009D,"1,651",5.10,324
W01000154,Conwy 003A,"1,449",1.06,"1,363"
W01000155,Conwy 004A,"1,429",0.46,"3,122"
W01000156,Conwy 004B,"1,520",0.38,"3,961"
W01000157,Conwy 004C,"1,471",0.38,"3,857"
W01000158,Conwy 004D,"1,561",0.84,"1,867"
W01000159,Conwy 014B,"1,428",123.86,12
W01000162,Conwy 014C,"1,977",126.15,16
W01000163,Conwy 009E,"1,451",3.08,471
W01000164,Conwy 009F,"1,400",2.59,542
W01000165,Conwy 006C,"2,019",0.79,"2,547"
W01000166,Conwy 006D,"2,759",1.62,"1,706"
W01000167,Conwy 011C,"1,999",2.81,712
W01000168,Conwy 002B,"1,814",0.77,"2,345"
W01000169,Conwy 001D,"1,956",0.47,"4,120"
W01000170,Conwy 013C,"1,885",8.20,230
W01000171,Conwy 013D,"1,481",7.79,190
W01000172,Conwy 013E,"1,195",2.40,498
W01000173,Conwy 003B,"1,523",5.88,259
W01000174,Conwy 003C,"1,724",0.39,"4,449"
W01000175,Conwy 003D,"1,628",1.49,"1,091"
W01000176,Conwy 011D,"1,831",0.73,"2,515"
W01000177,Conwy 011E,"1,375",2.16,636
W01000178,Conwy 010E,"1,890",0.63,"2,978"
W01000179,Conwy 010F,"1,851",1.02,"1,810"
W01000180,Conwy 008C,"1,625",3.08,527
W01000181,Conwy 008D,"1,506",0.55,"2,737"
W01000182,Conwy 007D,"1,898",0.51,"3,705"
W01000183,Conwy 008E,"1,497",0.77,"1,932"
W01000184,Conwy 005E,"2,289",5.67,404
W01000185,Conwy 015E,"1,247",51.69,24
W01000186,Conwy 001E,"1,759",0.57,"3,074"
W01000187,Conwy 002C,"1,607",0.95,"1,699"
W01000188,Conwy 002D,"1,711",0.63,"2,727"
W01000189,Conwy 015F,"1,454",177.08,8
W01000190,Conwy 014D,"1,455",125.92,12
W01001926,Conwy 011F,"2,238",17.48,128
W01001927,Conwy 010G,"1,403",1.84,761
W01001928,Conwy 010H,"1,156",0.50,"2,303"
W01000191,Denbighshire 009A,"2,189",16.67,131
W01000192,Denbighshire 016A,"1,035",54.40,19
W01000193,Denbighshire 015A,"1,319",15.11,87
W01000194,Denbighshire 011A,"2,112",1.07,"1,978"
W01000195,Denbighshire 012A,"1,455",0.93,"1,565"
W01000196,Denbighshire 012B,"1,509",1.85,817
W01000197,Denbighshire 012C,"1,711",14.64,117
W01000198,Denbighshire 011B,"1,449",0.21,"7,017"
W01000199,Denbighshire 011C,"1,715",17.32,99
W01000200,Denbighshire 008A,"1,312",2.28,576
W01000201,Denbighshire 008B,"1,555",5.36,290
W01000202,Denbighshire 015B,"1,655",73.66,22
W01000203,Denbighshire 013A,"2,519",85.42,29
W01000204,Denbighshire 013B,"1,463",28.37,52
W01000205,Denbighshire 016B,"1,206",92.44,13
W01000206,Denbighshire 013C,"2,248",46.04,49
W01000207,Denbighshire 015C,"2,363",93.55,25
W01000208,Denbighshire 016C,"1,192",43.69,27
W01000209,Denbighshire 016D,"1,589",3.20,497
W01000210,Denbighshire 016E,"1,383",13.27,104
W01000211,Denbighshire 012D,"1,973",109.23,18
W01000212,Denbighshire 003A,"2,132",0.88,"2,422"
W01000213,Denbighshire 002A,"1,478",0.62,"2,372"
W01000214,Denbighshire 002B,"1,038",2.27,457
W01000215,Denbighshire 002C,"1,438",0.52,"2,785"
W01000216,Denbighshire 002D,"1,369",2.95,465
W01000217,Denbighshire 008C,"2,010",1.59,"1,261"
W01000218,Denbighshire 001A,"1,539",0.48,"3,234"
W01000219,Denbighshire 001B,"2,630",0.62,"4,249"
W01000220,Denbighshire 001C,"1,691",0.77,"2,202"
W01000221,Denbighshire 003B,"1,327",0.28,"4,717"
W01000222,Denbighshire 003C,"1,767",0.95,"1,863"
W01000223,Denbighshire 009B,"1,321",10.59,125
W01000224,Denbighshire 009C,"1,423",1.34,"1,065"
W01000225,Denbighshire 009D,"1,461",1.76,830
W01000226,Denbighshire 004A,"1,489",0.85,"1,749"
W01000227,Denbighshire 004B,"1,641",0.34,"4,814"
W01000228,Denbighshire 004C,"1,523",0.51,"2,991"
W01000229,Denbighshire 017E,"1,666",0.40,"4,175"
W01000230,Denbighshire 017F,"1,917",0.43,"4,488"
W01000231,Denbighshire 017A,"1,378",0.35,"3,934"
W01000232,Denbighshire 017B,"1,686",0.36,"4,642"
W01000233,Denbighshire 017C,"1,325",0.26,"5,188"
W01000234,Denbighshire 017G,"1,833",0.64,"2,849"
W01000235,Denbighshire 017D,"1,295",0.28,"4,653"
W01000236,Denbighshire 006A,"1,993",0.51,"3,912"
W01000237,Denbighshire 006B,"1,836",0.92,"1,993"
W01000238,Denbighshire 006C,"1,800",0.40,"4,451"
W01000239,Denbighshire 004D,"1,740",0.30,"5,868"
