Postcode,Avg asking price,Avg blended ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¡ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂª/sqft,Sales per month,Turnover (sale),Avg asking rent (pm),Avg yield,3yr,Crime rate,Avg. household income,Social rent
B20 2,"290,497",231,7,16%,,,-10%,139,"40,000",27%
B20 3,"285,354",173,5,31%,,,17%,142,"33,000",36%
B21 0,"181,663",169,4,17%,,,19%,193,"34,300",32%
B21 8,"254,163",178,3,18%,,,13%,113,"35,300",27%
B21 9,"241,308",162,2,12%,,,8%,243,"33,600",30%
B23 5,"247,482",252,8,12%,,,11%,134,"39,400",30%
B23 6,"196,260",204,10,19%,985,6.00%,10%,241,"36,700",20%
B23 7,"206,505",205,12,27%,"1,038",6.00%,13%,194,"36,800",19%
B24 0,"299,643",286,5,9%,,,12%,103,"41,500",18%
B24 8,"211,024",190,3,14%,,,-5%,142,"37,200",23%
B24 9,"247,494",239,6,13%,,,4%,167,"38,400",20%
B25 8,"220,924",228,9,38%,,,7%,181,"36,900",23%
B26 1,"248,340",269,9,21%,,,6%,107,"40,800",10%
B26 2,"251,000",259,8,21%,,,16%,88,"39,100",16%
B26 3,"244,107",273,7,8%,970,4.80%,,261,"40,000",9%
B27 6,"256,918",238,8,25%,908,4.20%,13%,185,"39,900",14%
B27 7,"221,563",252,11,27%,,,10%,152,"36,900",22%
B28 0,"342,999",304,10,20%,"1,274",4.50%,7%,66,"45,800",5%
B28 8,"380,560",277,5,9%,,,-3%,127,"39,700",9%
B28 9,"333,077",281,4,33%,,,8%,85,"43,700",10%
B29 4,"409,375",326,3,16%,,,23%,108,"42,900",34%
B29 5,"215,524",251,3,18%,,,15%,126,"40,200",28%
B29 6,"358,124",341,7,30%,"1,201",4.00%,7%,160,"40,800",15%
B29 7,"355,883",307,9,23%,"1,557",5.30%,7%,83,"42,800",7%
B3 1,"215,765",341,5,5%,"1,161",6.50%,-5%,337,"46,600",22%
B30 1,"303,254",299,7,51%,,,16%,77,"44,000",32%
B30 2,"275,330",313,12,55%,"1,069",4.70%,8%,112,"44,300",17%
B30 3,"250,713",255,6,19%,,,10%,140,"42,500",24%
B31 1,"236,535",256,4,18%,,,12%,105,"37,300",35%
B31 2,"273,204",283,10,26%,"1,007",4.40%,5%,217,"43,800",22%
B31 3,"222,635",244,8,29%,,,12%,126,"37,500",25%
B31 4,"226,269",260,6,17%,,,17%,119,"38,700",23%
B31 5,"286,997",277,14,34%,,,20%,132,"38,100",22%
B32 1,"272,704",260,4,11%,,,25%,97,"41,700",17%
B32 2,"280,127",300,8,18%,"1,139",4.90%,9%,125,"41,000",28%
B32 3,"210,250",248,5,17%,,,9%,128,"36,500",34%
B32 4,"206,667",206,,,,,18%,140,"35,600",20%
B33 0,"220,750",240,6,58%,,,15%,183,"33,700",41%
B33 8,"254,161",216,5,17%,,,23%,155,"35,500",27%
B33 9,"201,400",242,7,35%,,,8%,171,"33,700",28%
B34 6,"228,037",250,4,17%,,,9%,131,"35,300",23%
B34 7,"209,062",223,3,18%,,,21%,168,"32,400",40%
B35 6,"209,818",192,4,23%,,,3%,144,"32,600",50%
B36 0,"274,824",259,8,24%,,,2%,103,"38,300",22%
B36 8,"318,737",247,3,14%,,,-1%,147,"36,400",22%
B36 9,"293,824",260,6,20%,,,-4%,83,"40,200",11%
B37 5,"200,667",189,4,33%,,,2%,215,"32,900",44%
B37 6,"212,778",211,4,21%,,,12%,151,"34,600",37%
B37 7,"293,260",264,7,11%,,,12%,160,"36,700",7%
B38 8,"288,330",262,5,15%,,,17%,118,"41,500",18%
B38 9,"228,911",256,6,18%,,,-5%,152,"35,000",27%
B4 6,"293,979",464,,,"1,294",5.30%,,"2,115","29,600",22%
B4 7,"327,304",,,,,,,554,"30,100",37%
B42 1,"231,097",260,12,28%,,,10%,130,"41,800",9%
B42 2,"234,355",263,10,26%,,,11%,100,"40,800",8%
B43 5,"255,000",237,3,7%,,,6%,70,"41,500",12%
B43 6,"301,873",275,6,17%,,,4%,98,"44,900",5%
B43 7,"277,498",277,12,25%,,,9%,88,"43,200",4%
B44 0,"204,907",222,7,31%,,,17%,134,"34,000",32%
B44 8,"223,871",246,10,23%,,,11%,74,"37,100",11%
B44 9,"213,868",239,9,28%,,,17%,102,"37,400",18%
B45 0,"185,385",200,4,24%,,,14%,144,"34,700",45%
B45 8,"391,455",320,11,18%,,,15%,84,"51,000",6%
B45 9,"264,140",264,8,22%,,,12%,119,"42,000",10%
B46 1,"294,945",294,4,8%,,,2%,73,"47,900",9%
B46 2,"597,071",339,2,9%,,,,54,"46,200",4%
B46 3,"364,706",301,3,11%,,,16%,109,"47,900",6%
B47 5,"391,071",357,5,67%,,,4%,60,"46,000",5%
B47 6,"469,166",344,2,11%,,,-5%,60,"49,600",6%
B48 7,"532,500",350,6,29%,,,8%,74,"49,900",5%
B49 5,"309,653",332,3,8%,,,-25%,59,"44,600",4%
B49 6,"406,065",344,4,14%,,,1%,59,"46,000",4%
B5 4,"196,936",314,2,4%,"1,075",6.60%,,"1,338","44,500",17%
B5 5,"166,282",304,2,5%,,,,658,"29,600",10%
B5 6,"244,093",365,,,"1,150",5.70%,,"2,689","42,500",32%
B5 7,"247,077",320,2,3%,"1,127",5.50%,56%,155,"43,100",20%
B50 4,"351,930",311,7,18%,,,4%,73,"49,300",10%
B60 1,"447,500",340,6,12%,,,-1%,50,"53,300",2%
B60 2,"393,846",326,5,18%,,,4%,48,"57,000",3%
B60 3,"291,684",311,7,25%,,,14%,107,"45,700",8%
B60 4,"355,265",336,4,19%,,,-2%,58,"51,400",5%
B61 0,"344,619",299,8,13%,,,2%,77,"45,200",6%
B61 7,"396,406",308,4,9%,,,9%,96,"41,300",11%
B61 8,"295,948",295,6,18%,,,9%,141,"41,200",8%
B61 9,,357,2,13%,,,,33,"47,800",3%
B62 0,"439,955",344,4,7%,,,-4%,54,"48,000",3%
B62 8,"354,758",277,4,12%,,,6%,68,"41,900",8%
B62 9,"297,165",269,10,21%,,,7%,70,"43,800",7%
B63 1,"366,765",306,5,23%,,,7%,31,"49,600",4%
B63 2,"229,809",241,7,12%,,,12%,64,"36,700",25%
B63 3,"267,917",257,6,16%,,,10%,104,"39,600",12%
B63 4,"270,647",260,8,22%,,,6%,72,"40,400",18%
B64 5,"235,323",226,3,13%,,,16%,158,"36,000",26%
B64 6,"212,772",213,4,17%,,,3%,156,"35,700",31%
B64 7,"300,366",239,3,13%,,,9%,88,"36,700",20%
B65 0,"241,372",209,4,20%,,,1%,195,"36,400",19%
B65 8,"250,622",220,4,15%,,,21%,87,"38,300",23%
B65 9,"223,500",241,6,23%,,,15%,74,"36,100",24%
B66 3,"192,917",185,3,14%,,,-3%,161,"35,000",37%
B66 4,"223,859",183,2,6%,"1,043",5.60%,20%,218,"37,600",15%
B67 5,"252,123",252,6,10%,,,9%,75,"44,700",16%
B67 6,"222,442",201,5,25%,,,20%,96,"34,900",29%
B67 7,"227,000",184,3,27%,,,2%,82,"36,100",23%
B68 0,"272,076",256,6,13%,"1,157",5.10%,8%,81,"41,000",14%
B68 8,"253,500",213,5,17%,,,15%,112,"38,400",20%
B68 9,"250,417",262,4,11%,,,14%,84,"38,800",19%
B69 1,"242,195",264,8,12%,,,7%,119,"38,600",22%
B69 2,"245,990",208,4,25%,,,7%,151,"38,200",18%
B69 3,,233,2,15%,,,41%,163,"38,600",14%
B69 4,"157,463",209,5,24%,,,2%,207,"37,800",26%
B7 4,,,2,39%,,,,259,"30,000",72%
B70 0,"214,833",230,4,27%,,,8%,184,"37,600",34%
B70 6,,225,3,22%,,,-34%,138,"34,100",40%
B70 8,,180,3,27%,,,77%,212,"33,300",25%
B70 9,,199,2,12%,,,23%,202,"35,300",36%
B71 1,"237,941",215,2,13%,,,-2%,115,"37,600",40%
B71 2,"232,609",219,5,16%,,,12%,97,"36,800",37%
B71 3,"273,750",239,6,10%,,,2%,127,"42,900",17%
B71 4,"250,455",223,3,20%,,,19%,232,"37,600",46%
B72 1,"460,545",327,8,9%,,,,119,"56,400",3%
B73 5,"358,802",332,12,12%,,,5%,82,"51,600",6%
B73 6,"420,520",343,6,6%,,,1%,105,"53,300",9%
B74 2,"452,929",341,6,8%,,,3%,52,"53,800",8%
B74 3,"450,715",365,4,5%,,,6%,37,"52,500",1%
B74 4,"502,499",363,9,13%,"1,263",3.00%,2%,40,"51,600",9%
B75 5,"481,629",374,7,10%,,,8%,73,"55,600",5%
B75 6,"494,557",383,8,11%,,,5%,44,"56,100",2%
B75 7,"372,520",309,7,7%,,,13%,122,"46,700",6%
B76 1,"386,271",355,8,11%,,,14%,68,"51,900",6%
B76 2,"348,325",361,7,20%,,,2%,55,"50,900",3%
B76 9,"362,500",301,3,9%,,,,109,"47,100",5%
B77 1,"293,265",292,6,13%,,,2%,46,"45,600",9%
B77 2,"241,808",250,10,24%,,,14%,105,"39,900",19%
B77 3,"254,062",266,7,15%,,,8%,69,"41,100",14%
B77 4,"274,270",289,7,10%,,,7%,85,"43,000",16%
B77 5,"280,584",255,6,16%,,,8%,92,"45,000",12%
B78 1,"318,014",269,6,11%,,,15%,64,"44,100",10%
B78 2,"305,576",288,3,10%,,,7%,76,"45,100",9%
B78 3,"343,422",311,8,9%,,,5%,113,"43,600",6%
B79 0,"389,650",311,5,6%,,,3%,65,"46,700",10%
B79 7,"236,395",250,6,18%,,,-5%,185,"38,100",13%
B79 8,"322,605",260,8,14%,,,7%,60,"41,200",17%
B79 9,"617,366",334,,,,,,33,"52,300",5%
B8 2,"230,937",225,4,21%,,,6%,134,"34,200",20%
B8 3,"212,632",180,4,24%,,,17%,105,"31,500",27%
B80 7,"363,702",309,4,11%,,,9%,76,"43,000",6%
B9 4,,201,3,33%,,,5%,208,"34,800",34%
B9 5,"222,248",204,4,16%,,,3%,121,"35,100",23%
B90 1,"311,301",326,17,21%,"1,205",4.60%,3%,89,"50,400",5%
B90 2,"366,771",354,11,25%,,,5%,51,"49,400",6%
B90 3,"383,624",353,9,21%,"1,359",4.30%,6%,125,"50,000",8%
B90 4,"400,110",382,10,10%,"1,280",3.80%,4%,98,"57,000",8%
B91 1,"574,811",396,7,10%,"1,535",3.20%,-5%,44,"56,900",1%
B91 2,"380,095",340,10,20%,"1,332",4.20%,-1%,59,"51,000",4%
B91 3,"451,492",411,7,9%,"1,307",3.50%,-2%,146,"60,700",2%
B92 0,"597,292",398,4,17%,,,6%,89,"49,900",3%
B92 7,"299,646",312,15,25%,,,8%,73,"46,500",6%
B92 8,"348,901",323,11,21%,,,2%,81,"47,000",9%
B92 9,"308,323",315,6,18%,,,10%,74,"46,800",8%
B93 0,"537,081",421,3,8%,,,7%,77,"57,000",10%
B93 8,"632,655",442,6,20%,,,6%,51,"59,900",5%
B93 9,"643,065",443,6,15%,,,5%,34,"59,100",2%
B94 5,"988,750",427,2,7%,,,10%,64,"56,100",5%
B94 6,"482,614",400,3,11%,,,-34%,81,"57,800",7%
B95 5,"505,813",396,5,14%,,,-7%,61,"49,400",6%
B96 6,"512,498",331,4,10%,,,8%,47,"50,200",7%
B97 4,"256,185",248,5,16%,,,49%,183,"44,200",14%
B97 5,"325,830",296,14,21%,,,7%,41,"48,500",4%
B97 6,"287,475",279,9,18%,,,7%,124,"42,900",22%
B98 0,"249,259",256,8,38%,,,1%,83,"43,900",17%
B98 7,"242,361",239,13,33%,"1,048",5.20%,3%,115,"42,100",18%
B98 8,"240,875",259,5,29%,,,3%,112,"40,100",24%
B98 9,"413,824",300,4,19%,,,5%,99,"43,700",8%
BA1 1,,550,2,12%,,,,"1,350","51,800",24%
BA1 2,"497,703",557,11,19%,"1,529",3.70%,10%,173,"51,400",11%
BA1 3,"430,864",446,8,28%,"2,961",8.20%,6%,60,"51,100",15%
BA1 4,"436,471",441,4,19%,,,7%,68,"52,100",17%
BA1 5,"624,982",562,6,9%,"1,851",3.60%,36%,79,"53,900",13%
BA1 6,"454,167",445,11,30%,,,13%,61,"53,800",11%
BA1 7,"597,609",446,5,19%,,,14%,27,"55,500",9%
BA10 0,"460,833",353,3,10%,,,5%,54,"48,800",4%
BA11 1,"350,943",337,11,16%,,,18%,122,"42,500",19%
BA11 2,"370,072",363,7,18%,,,10%,49,"48,200",5%
BA11 3,"381,296",363,3,10%,,,2%,69,"45,300",6%
BA11 4,"411,954",348,5,15%,,,15%,67,"44,100",16%
BA11 5,"420,288",340,2,5%,,,17%,82,"47,100",4%
BA11 6,"448,561",396,3,12%,,,10%,52,"49,900",8%
BA12 0,"537,270",338,4,11%,,,22%,31,"49,500",7%
BA12 6,"431,818",303,6,18%,,,7%,52,"44,600",6%
BA12 7,"407,458",329,3,13%,,,10%,58,"50,100",5%
BA12 8,"314,946",317,7,9%,,,6%,61,"46,300",10%
BA12 9,"327,826",313,6,15%,,,14%,126,"45,800",14%
BA13 3,"267,437",300,13,20%,957,4.30%,6%,57,"45,800",6%
BA13 4,"434,395",300,5,8%,,,-6%,58,"47,700",6%
BA14 0,"283,760",283,11,30%,913,3.90%,6%,54,"47,400",11%
BA14 6,"460,516",330,5,15%,,,-3%,63,"52,100",6%
BA14 7,"322,652",288,16,25%,,,9%,68,"49,700",13%
BA14 8,"196,285",270,8,17%,,,-9%,257,"46,100",20%
BA14 9,"344,067",287,7,18%,,,11%,62,"46,500",6%
BA15 1,"421,960",401,13,28%,,,5%,43,"50,200",11%
BA15 2,"534,643",450,3,30%,,,4%,56,"54,900",8%
BA16 0,"312,435",289,12,27%,,,7%,71,"42,000",8%
BA16 9,"276,755",295,2,14%,,,18%,48,"42,400",4%
BA2 0,"469,595",349,2,12%,,,10%,47,"51,800",10%
BA2 1,"335,677",379,11,39%,"2,530",9.00%,18%,105,"40,900",32%
BA2 2,"418,362",409,6,25%,"2,064",5.90%,9%,58,"48,700",17%
BA2 3,"418,054",453,6,18%,"2,167",6.20%,11%,63,"46,100",12%
BA2 4,"613,224",516,4,11%,"1,820",3.60%,33%,115,"55,300",9%
BA2 5,"482,439",461,5,8%,,,7%,82,"52,700",11%
BA2 6,"752,689",555,6,11%,,,7%,38,"53,000",11%
BA2 7,"707,348",483,5,14%,,,22%,24,"53,400",3%
BA2 8,"393,976",356,4,12%,,,20%,48,"48,900",3%
BA20 1,"229,000",202,3,15%,,,-20%,571,"44,200",14%
BA20 2,"356,717",283,6,13%,,,9%,85,"48,700",8%
BA21 3,"273,057",277,9,19%,,,4%,69,"46,100",10%
BA21 4,"230,650",227,6,18%,,,12%,119,"42,100",19%
BA21 5,"219,667",236,12,31%,,,15%,122,"44,400",5%
BA22 7,"504,442",330,3,10%,,,36%,36,"50,200",7%
BA22 8,"321,406",292,12,19%,,,3%,53,"50,300",8%
BA22 9,"389,727",302,4,8%,,,13%,38,"44,500",5%
BA3 2,"351,988",320,8,19%,,,13%,61,"44,800",10%
BA3 3,"303,203",304,9,15%,,,16%,86,"43,800",14%
BA3 4,"446,914",330,7,12%,,,11%,51,"46,400",8%
BA3 5,"527,033",350,7,11%,,,15%,36,"46,600",9%
BA4 4,"423,608",328,5,8%,,,24%,71,"47,300",5%
BA4 5,"275,437",288,8,16%,,,14%,74,"45,600",8%
BA4 6,"440,390",334,4,9%,,,23%,55,"47,900",3%
BA5 1,"449,166",344,9,14%,,,9%,74,"47,000",3%
BA5 2,"351,468",343,9,20%,,,9%,92,"42,700",13%
BA5 3,"477,167",362,4,10%,,,14%,33,"49,100",2%
BA6 8,"474,238",331,5,7%,,,11%,60,"43,700",4%
BA6 9,"325,121",285,7,17%,,,8%,134,"41,900",5%
BA7 7,"361,667",328,4,15%,,,8%,70,"47,800",6%
BA8 0,"340,107",286,3,6%,,,13%,46,"44,500",7%
BA9 9,"362,430",283,4,5%,,,5%,92,"45,700",7%
BB1 2,"192,335",151,5,15%,,,-1%,175,"33,700",14%
BB1 4,"158,680",126,5,16%,,,-1%,119,"37,100",2%
BB1 5,"160,685",150,3,23%,,,27%,115,"33,500",31%
BB1 8,"219,674",202,7,24%,,,,65,"38,300",5%
BB1 9,"273,378",209,9,18%,,,9%,73,"43,100",5%
BB10 1,"118,386",91,7,18%,,,14%,161,"31,800",11%
BB10 2,"188,743",172,7,13%,,,7%,83,"39,500",10%
BB10 3,"281,178",191,6,13%,,,6%,79,"36,200",15%
BB10 4,"145,031",150,10,26%,,,1%,114,"35,900",2%
BB11 2,"172,382",128,4,15%,,,-4%,228,"38,100",14%
BB11 3,"92,203",87,8,38%,,,21%,325,"37,100",12%
BB11 4,"124,994",108,6,18%,,,24%,251,"34,000",22%
BB11 5,"183,075",132,6,15%,,,-16%,140,"35,500",10%
BB12 0,"203,041",187,8,30%,,,20%,96,"35,700",19%
BB12 6,"123,877",155,8,19%,,,-12%,107,"38,400",10%
BB12 7,"181,769",166,8,24%,,,-6%,91,"41,200",9%
BB12 8,"152,737",143,7,20%,,,-5%,127,"35,300",6%
BB12 9,"383,533",259,2,5%,,,6%,45,"45,100",2%
BB18 5,"199,656",185,11,31%,,,,68,"38,500",3%
BB18 6,"179,909",178,10,14%,,,-1%,55,"39,200",5%
BB2 2,,111,6,79%,,,26%,350,"31,200",43%
BB2 3,"140,406",141,6,18%,,,26%,212,"34,300",42%
BB2 4,"154,019",159,15,23%,,,5%,128,"37,100",13%
BB2 5,"287,015",230,12,13%,,,-1%,59,"46,200",3%
BB2 6,"202,660",139,8,38%,,,3%,83,"38,800",14%
BB2 7,"310,438",242,3,6%,,,-10%,34,"48,200",1%
BB3 0,"226,376",163,10,17%,,,13%,128,"39,300",9%
BB3 1,"152,418",132,9,24%,,,7%,150,"34,900",10%
BB3 2,"187,269",169,9,22%,,,-10%,83,"38,700",3%
BB3 3,"235,370",173,11,14%,,,,103,"37,200",3%
BB4 4,"282,610",259,5,8%,,,13%,50,"42,500",3%
BB4 5,"154,971",151,5,13%,,,25%,119,"37,400",11%
BB4 6,"312,536",246,6,12%,,,-7%,122,"41,100",8%
BB4 7,"266,705",223,7,14%,,,18%,111,"37,700",6%
BB4 8,"276,520",245,7,9%,,,16%,70,"43,800",4%
BB4 9,"241,166",192,6,10%,,,6%,85,"39,000",8%
BB5 0,"115,312",125,4,22%,,,16%,142,"30,300",22%
BB5 1,,84,3,21%,,,26%,450,"32,400",28%
BB5 2,"216,029",185,8,26%,,,22%,111,"38,900",4%
BB5 3,"144,827",143,7,21%,,,6%,122,"35,700",4%
BB5 4,"162,292",149,10,30%,,,-1%,111,"34,000",16%
BB5 5,"163,777",169,13,27%,,,2%,117,"37,700",9%
BB5 6,"122,184",121,12,35%,,,9%,122,"35,500",15%
BB6 7,"142,003",143,10,16%,,,7%,106,"36,200",9%
BB6 8,"347,027",248,4,15%,,,15%,36,"51,000",2%
BB7 1,"234,033",234,6,15%,,,6%,97,"43,300",3%
BB7 2,"297,698",243,10,25%,,,6%,72,"43,100",8%
BB7 3,"512,612",320,,,,,32%,38,"47,600",2%
BB7 4,"428,546",276,4,11%,,,-2%,35,"47,200",3%
BB7 9,"374,544",292,7,8%,,,5%,68,"49,600",6%
BB8 0,"128,778",131,10,36%,,,-11%,147,"35,000",23%
BB8 7,"303,889",236,2,3%,,,,49,"43,000",6%
BB8 8,"218,444",195,4,13%,,,4%,104,"39,200",5%
BB8 9,"140,368",130,6,22%,,,9%,163,"34,600",19%
BB9 0,"139,313",131,10,25%,,,-2%,78,"34,400",5%
BB9 5,"166,173",139,4,12%,,,2%,112,"38,600",10%
BB9 6,"293,259",230,5,10%,,,-6%,58,"45,900",2%
BB9 8,"131,023",143,7,23%,,,-1%,107,"35,600",23%
BB9 9,"142,783",91,6,33%,,,,164,"32,800",19%
BD1 1,,,,,,,,"7,320","26,300",5%
BD1 2,,85,2,24%,,,,"2,511","26,400",19%
BD1 3,,171,,,,,,473,"26,300",29%
BD1 4,"74,568",108,,,,,,"1,415","26,300",18%
BD1 5,"59,713",213,4,31%,655,13.20%,-31%,"1,517","26,300",17%
BD10 0,"233,053",254,12,24%,,,-1%,197,"40,800",16%
BD10 8,"258,918",243,13,23%,,,14%,137,"39,300",12%
BD10 9,"211,896",205,5,21%,,,20%,173,"41,500",22%
BD11 1,"318,676",269,6,9%,,,16%,83,"41,800",7%
BD11 2,"264,623",254,8,29%,,,11%,89,"43,900",5%
BD12 0,"203,496",198,3,7%,,,16%,145,"36,600",10%
BD12 8,"183,715",160,4,29%,,,5%,183,"34,000",12%
BD12 9,"251,470",225,7,24%,,,6%,138,"34,800",22%
BD13 1,"240,241",206,4,13%,,,18%,106,"39,200",6%
BD13 2,"221,607",200,8,20%,,,15%,109,"39,800",11%
BD13 3,"216,676",195,7,14%,,,9%,133,"38,200",5%
BD13 4,"255,955",176,4,14%,,,22%,114,"38,800",7%
BD13 5,"298,786",238,4,15%,,,25%,73,"38,800",6%
BD14 6,"213,811",201,8,17%,,,-5%,115,"35,300",7%
BD15 0,"274,510",228,3,11%,,,9%,54,"45,000",2%
BD15 7,,149,4,52%,,,8%,154,"34,600",34%
BD15 9,"206,295",206,4,23%,,,5%,58,"34,100",2%
BD16 1,"254,219",228,8,11%,,,6%,93,"44,200",6%
BD16 2,"182,061",204,6,20%,,,4%,176,"45,400",7%
BD16 3,"313,110",287,3,10%,,,13%,32,"49,300",5%
BD16 4,"225,280",223,7,16%,,,3%,66,"44,500",8%
BD17 5,"357,964",268,5,9%,,,-4%,99,"46,100",17%
BD17 6,"292,022",272,7,25%,,,18%,53,"43,700",2%
BD17 7,"165,112",224,7,12%,815,5.90%,-6%,227,"40,000",15%
BD18 1,"207,855",199,5,21%,,,10%,104,"33,600",17%
BD18 2,"159,531",157,6,75%,,,25%,175,"34,600",29%
BD18 3,"208,329",179,7,46%,,,26%,202,"37,800",17%
BD18 4,"255,150",263,9,30%,,,29%,86,"45,500",7%
BD19 3,"179,748",188,5,22%,,,-3%,223,"33,600",15%
BD19 4,"313,354",254,9,17%,,,21%,88,"40,500",6%
BD19 5,,202,5,31%,,,40%,141,"33,500",4%
BD19 6,"321,880",218,5,20%,,,20%,108,"39,100",7%
BD2 1,"216,517",224,7,32%,,,8%,130,"35,400",15%
BD2 2,"205,349",206,6,32%,,,9%,114,"32,700",5%
BD2 3,"192,583",205,4,14%,,,-2%,144,"33,900",19%
BD2 4,"171,188",186,5,22%,,,7%,131,"33,300",10%
BD20 0,"277,692",277,7,11%,,,3%,68,"44,000",14%
BD20 5,"275,948",228,8,17%,,,12%,37,"45,500",1%
BD20 6,"271,798",228,11,16%,,,3%,111,"40,900",4%
BD20 7,"272,765",255,4,13%,,,9%,46,"40,900",7%
BD20 8,"323,145",282,5,11%,,,-8%,48,"42,700",4%
BD20 9,"336,179",287,3,9%,,,6%,47,"42,500",2%
BD21 2,,102,5,67%,,,41%,149,"32,500",13%
BD21 4,"186,895",167,5,11%,,,1%,115,"31,200",6%
